Green3,Blue4,Blue5,Blue6,Red7,Red8,Red9
,1501243277265.144
,,1501243266500.77
,,1501243271442.176
,,1501243283082.801
,,,1501243264643.408
,,,1501243273373.877
,,,1501243278461.768
,,,,1501243276084.378
,,,,,1501243262072.11
,,,,,1501243268361.173
,,,,,1501243280040.86
,,,,,,1501243260628.434
,,,,,,1501243269368.668
,,,,,,1501243281390.152
