id,time,thumb,index_finger,index_knuckle,middle_finger,middle_knuckle,ring_finger,ring_knuckle,pinky_finger,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1.51866E+12,0,0,0,0,0,0,0,NaN,23384,-8060,-13096,2812,4009,889
1,1.51866E+12,0,0,0,0,0,0,0,0,22440,-7976,-13204,-857,5382,1311
2,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
3,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
4,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
5,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
6,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
7,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
8,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
9,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
10,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
11,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
12,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
13,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
14,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
15,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
16,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
17,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
18,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
19,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
20,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
21,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
22,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
23,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
24,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
25,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
26,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
27,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
28,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
29,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
30,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
31,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
32,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
33,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
34,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
35,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
36,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
37,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
38,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
39,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
40,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
41,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
42,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
43,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
44,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
45,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
46,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
47,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
48,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
49,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
50,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
51,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
52,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
53,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
54,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
55,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
56,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
57,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
58,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
59,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
60,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
61,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
62,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
63,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
64,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
65,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
66,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
67,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
68,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
69,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
70,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
71,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
72,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
73,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
74,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
75,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
76,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
77,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
78,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
79,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
80,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
81,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
82,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
83,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
84,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
85,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
86,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
87,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
88,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
89,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
90,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
