id,time,thumb,index finger,index knuckle,middle finger,middle knuckle,ring finger,ring knuckle,pinky finger,accel x,accel y,accel z,gyro x,gyro y,gyro z
0,1518661898593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,23384.0,-8060.0,-13096.0,2812.0,4009.0,889.0
1,1518661898672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22440.0,-7976.0,-13204.0,-857.0,5382.0,1311.0
2,1518661898736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
3,1518661898816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
4,1518661898896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
5,1518661898960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
6,1518661899040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
7,1518661899120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
8,1518661899184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
9,1518661899264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
10,1518661899344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
11,1518661899408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
12,1518661899488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
13,1518661899569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
14,1518661899633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
15,1518661899712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
16,1518661899792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
17,1518661899856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,-8480.0,-13748.0,32767.0,-1.0,-1.0
